/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 15.13M (codec d=384, frozen=True)
step    6000 | VAL cos 0.5352 | VAL dec CE 3.7857
step    6050 | cos 0.5322 | thought 0.9566 dec_ce 1.8973 | 4.2 it/s
step    6100 | cos 0.5350 | thought 0.9666 dec_ce 1.9976 | 5.4 it/s
step    6150 | cos 0.5326 | thought 0.9938 dec_ce 2.1015 | 5.5 it/s
step    6200 | cos 0.5352 | thought 0.9999 dec_ce 2.1055 | 5.3 it/s
step    6250 | cos 0.5346 | thought 0.963 dec_ce 2.0067 | 5.3 it/s
step    6300 | cos 0.5351 | thought 0.9465 dec_ce 1.9281 | 5.2 it/s
step    6350 | cos 0.5374 | thought 0.9233 dec_ce 1.9269 | 5.5 it/s
step    6400 | cos 0.5337 | thought 0.946 dec_ce 2.0085 | 5.2 it/s
step    6450 | cos 0.5340 | thought 0.9658 dec_ce 1.9909 | 5.3 it/s
step    6500 | cos 0.5358 | thought 0.9463 dec_ce 1.9551 | 5.4 it/s
step    6550 | cos 0.5341 | thought 0.9801 dec_ce 2.0636 | 5.1 it/s
step    6600 | cos 0.5355 | thought 0.905 dec_ce 1.8892 | 5.6 it/s
step    6650 | cos 0.5358 | thought 0.9769 dec_ce 2.1697 | 5.4 it/s
step    6700 | cos 0.5324 | thought 0.9569 dec_ce 2.0263 | 5.3 it/s
step    6750 | cos 0.5362 | thought 0.9298 dec_ce 2.0003 | 5.4 it/s
step    6800 | cos 0.5333 | thought 0.9554 dec_ce 2.0363 | 5.3 it/s
step    6850 | cos 0.5377 | thought 0.9124 dec_ce 1.9717 | 5.3 it/s
step    6900 | cos 0.5369 | thought 0.9425 dec_ce 1.9777 | 5.5 it/s
step    6950 | cos 0.5367 | thought 0.9411 dec_ce 1.9151 | 5.3 it/s
step    7000 | cos 0.5396 | thought 0.9308 dec_ce 1.8978 | 5.4 it/s
step    7050 | cos 0.5345 | thought 0.942 dec_ce 1.9642 | 5.1 it/s
step    7100 | cos 0.5377 | thought 0.9424 dec_ce 1.9316 | 5.5 it/s
step    7150 | cos 0.5386 | thought 0.8648 dec_ce 1.8882 | 5.4 it/s
step    7200 | cos 0.5360 | thought 0.9203 dec_ce 1.9511 | 5.3 it/s
step    7250 | cos 0.5378 | thought 0.9828 dec_ce 2.0754 | 5.4 it/s
step    7300 | cos 0.5390 | thought 0.9626 dec_ce 1.9657 | 5.5 it/s
step    7350 | cos 0.5378 | thought 0.9099 dec_ce 1.9041 | 5.4 it/s
step    7400 | cos 0.5365 | thought 0.9107 dec_ce 2.0559 | 5.3 it/s
step    7450 | cos 0.5357 | thought 0.9211 dec_ce 2.0591 | 5.3 it/s
step    7500 | cos 0.5373 | thought 0.9019 dec_ce 1.911 | 5.4 it/s
step    7550 | cos 0.5407 | thought 0.9226 dec_ce 2.0022 | 5.3 it/s
step    7600 | cos 0.5426 | thought 0.9154 dec_ce 1.9884 | 5.5 it/s
step    7650 | cos 0.5429 | thought 0.9292 dec_ce 1.9908 | 5.4 it/s
step    7700 | cos 0.5401 | thought 0.9115 dec_ce 1.938 | 5.5 it/s
step    7750 | cos 0.5394 | thought 0.9507 dec_ce 2.0521 | 5.4 it/s
step    7800 | cos 0.5375 | thought 0.9767 dec_ce 1.9636 | 5.4 it/s
step    7850 | cos 0.5360 | thought 0.9283 dec_ce 1.978 | 5.4 it/s
step    7900 | cos 0.5406 | thought 0.9455 dec_ce 2.0069 | 5.5 it/s
step    7950 | cos 0.5406 | thought 0.9196 dec_ce 1.9502 | 5.3 it/s
step    8000 | cos 0.5412 | thought 0.9102 dec_ce 1.8676 | 5.3 it/s
step    8000 | VAL cos 0.5429 | VAL dec CE 3.7595
step    8050 | cos 0.5429 | thought 0.9292 dec_ce 1.9945 | 4.3 it/s
step    8100 | cos 0.5383 | thought 0.9388 dec_ce 1.9439 | 5.4 it/s
step    8150 | cos 0.5367 | thought 0.8898 dec_ce 1.8334 | 5.4 it/s
step    8200 | cos 0.5391 | thought 0.9327 dec_ce 1.9766 | 5.3 it/s
step    8250 | cos 0.5351 | thought 0.873 dec_ce 1.8764 | 5.2 it/s
step    8300 | cos 0.5415 | thought 0.9205 dec_ce 1.982 | 5.3 it/s
step    8350 | cos 0.5410 | thought 0.9465 dec_ce 2.0651 | 5.4 it/s
step    8400 | cos 0.5428 | thought 0.9101 dec_ce 1.913 | 5.5 it/s
step    8450 | cos 0.5382 | thought 0.9254 dec_ce 1.908 | 5.4 it/s
step    8500 | cos 0.5420 | thought 0.9017 dec_ce 1.8126 | 5.3 it/s
step    8550 | cos 0.5424 | thought 0.9045 dec_ce 1.9314 | 5.2 it/s
step    8600 | cos 0.5415 | thought 0.9086 dec_ce 2.0401 | 5.4 it/s
step    8650 | cos 0.5425 | thought 0.9166 dec_ce 1.9069 | 5.5 it/s
step    8700 | cos 0.5435 | thought 0.9093 dec_ce 2.0283 | 5.3 it/s
