/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 32.07M (codec d=384, frozen=True)
step    6600 | cos 0.5382 | thought 0.9066 dec_ce 1.8538 | 3.2 it/s
step    6650 | cos 0.5349 | thought 0.9098 dec_ce 1.889 | 3.3 it/s
step    6700 | cos 0.5336 | thought 0.9118 dec_ce 1.9201 | 3.2 it/s
step    6750 | cos 0.5360 | thought 0.8953 dec_ce 1.8691 | 3.3 it/s
step    6800 | cos 0.5365 | thought 0.927 dec_ce 1.9235 | 3.2 it/s
step    6850 | cos 0.5342 | thought 0.8704 dec_ce 1.8275 | 3.2 it/s
step    6900 | cos 0.5351 | thought 0.9334 dec_ce 1.9947 | 3.2 it/s
step    6950 | cos 0.5355 | thought 0.9544 dec_ce 1.9572 | 3.1 it/s
step    7000 | cos 0.5372 | thought 0.9295 dec_ce 2.0703 | 3.2 it/s
step    7050 | cos 0.5342 | thought 0.8706 dec_ce 1.8394 | 3.1 it/s
step    7100 | cos 0.5354 | thought 0.8924 dec_ce 1.836 | 3.2 it/s
step    7150 | cos 0.5341 | thought 0.9785 dec_ce 2.1234 | 3.1 it/s
step    7200 | cos 0.5368 | thought 0.9469 dec_ce 1.9572 | 3.2 it/s
step    7250 | cos 0.5312 | thought 0.9267 dec_ce 1.9587 | 3.1 it/s
step    7300 | cos 0.5393 | thought 0.9214 dec_ce 1.9142 | 3.2 it/s
step    7350 | cos 0.5387 | thought 0.9453 dec_ce 1.9346 | 3.1 it/s
step    7400 | cos 0.5381 | thought 0.9026 dec_ce 1.9539 | 3.2 it/s
step    7450 | cos 0.5344 | thought 0.9418 dec_ce 2.0644 | 3.1 it/s
step    7500 | cos 0.5370 | thought 0.9509 dec_ce 1.9131 | 3.2 it/s
step    7550 | cos 0.5387 | thought 0.9097 dec_ce 1.8993 | 3.1 it/s
step    7600 | cos 0.5370 | thought 0.9256 dec_ce 1.9829 | 3.2 it/s
step    7650 | cos 0.5369 | thought 0.9164 dec_ce 1.9019 | 3.3 it/s
step    7700 | cos 0.5354 | thought 0.9176 dec_ce 1.945 | 3.1 it/s
step    7750 | cos 0.5367 | thought 0.9358 dec_ce 1.9299 | 3.1 it/s
