/home/nochi/vault/projects/ThoughtVectors/thoughtvec/.venv/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
thinker params: 32.03M (codec d=384, frozen=True)
step    8850 | cos 0.4821 | thought 0.7282 dec_ce 1.8825 | 3.2 it/s
step    8900 | cos 0.4857 | thought 0.7085 dec_ce 1.7853 | 3.2 it/s
step    8950 | cos 0.4843 | thought 0.7343 dec_ce 2.0094 | 3.2 it/s
step    9000 | cos 0.4860 | thought 0.7471 dec_ce 1.8911 | 3.2 it/s
step    9050 | cos 0.4840 | thought 0.7578 dec_ce 2.0281 | 3.2 it/s
step    9100 | cos 0.4864 | thought 0.7541 dec_ce 1.9457 | 3.3 it/s
step    9150 | cos 0.4891 | thought 0.7484 dec_ce 1.928 | 3.3 it/s
step    9200 | cos 0.4847 | thought 0.7785 dec_ce 1.9405 | 3.2 it/s
step    9250 | cos 0.4826 | thought 0.7845 dec_ce 1.9467 | 3.3 it/s
step    9300 | cos 0.4840 | thought 0.7569 dec_ce 1.8939 | 3.2 it/s
step    9350 | cos 0.4833 | thought 0.7425 dec_ce 1.8818 | 3.2 it/s
step    9400 | cos 0.4858 | thought 0.7831 dec_ce 2.0306 | 3.3 it/s
step    9450 | cos 0.4849 | thought 0.7661 dec_ce 1.9694 | 3.3 it/s
step    9500 | cos 0.4849 | thought 0.755 dec_ce 1.9035 | 3.2 it/s
